site_id,bs_id,scenario,sector_az_deg,lat,lon,total_MHz,used_MHz,util_pct,attached_users,demand_Mbps,served_Mbps
67,201,UMI,30.0,43.62852,-79.41249,100.0,11.608,11.6,84,32.03,32.03
67,202,UMI,150.0,43.62852,-79.41249,100.0,8.603,8.6,51,22.33,22.33
67,203,UMI,270.0,43.62852,-79.41249,100.0,8.174,8.2,71,22.63,22.63
68,204,UMI,30.0,43.62852,-79.36151,100.0,3.894,3.9,19,9.45,9.45
68,205,UMI,150.0,43.62852,-79.36151,100.0,4.96,5.0,40,18.54,18.54
68,206,UMI,270.0,43.62852,-79.36151,100.0,0.507,0.5,7,1.1,1.1
69,207,UMI,30.0,43.63251,-79.47303,100.0,22.209,22.2,79,31.26,31.26
69,208,UMI,150.0,43.63251,-79.47303,100.0,8.589,8.6,41,19.07,19.07
69,209,UMI,270.0,43.63251,-79.47303,100.0,18.587,18.6,71,26.6,26.6
70,210,UMI,30.0,43.63251,-79.44754,100.0,7.852,7.9,66,19.93,19.93
70,211,UMI,150.0,43.63251,-79.44754,100.0,2.709,2.7,28,9.49,9.49
70,212,UMI,270.0,43.63251,-79.44754,100.0,6.134,6.1,38,16.56,16.56
71,213,UMI,30.0,43.63251,-79.44117,100.0,18.237,18.2,109,47.39,47.39
71,214,UMI,150.0,43.63251,-79.44117,100.0,7.391,7.4,74,26.52,26.52
71,215,UMI,270.0,43.63251,-79.44117,100.0,8.674,8.7,75,28.67,28.67
72,216,UMI,30.0,43.63251,-79.43479,100.0,30.418,30.4,232,94.39,94.39
72,217,UMI,150.0,43.63251,-79.43479,100.0,16.682,16.7,107,38.2,38.2
72,218,UMI,270.0,43.63251,-79.43479,100.0,14.552,14.6,106,47.3,47.3
73,219,UMI,30.0,43.63251,-79.42842,100.0,38.415,38.4,286,100.67,100.67
73,220,UMI,150.0,43.63251,-79.42842,100.0,21.349,21.3,175,73.02,73.02
73,221,UMI,270.0,43.63251,-79.42842,100.0,23.274,23.3,173,65.54,65.54
74,222,UMI,30.0,43.63251,-79.42205,100.0,46.665,46.7,265,98.88,98.88
74,223,UMI,150.0,43.63251,-79.42205,100.0,27.588,27.6,191,82.96,82.96
74,224,UMI,270.0,43.63251,-79.42205,100.0,39.404,39.4,234,98.71,98.71
